地點名稱,分類,地址,停留時間,Lat,Lon,Day,通車時間
大濠公園,景點,福岡県福岡市中央区大濠公園,1.5小時,33.5847,130.3764,1,從博多搭地鐵約 15 分
三井LaLaport福岡,購物,福岡県福岡市博多区那珂6丁目23-1,2小時,33.5623,130.4431,1,搭公車約 30 分
福岡塔,景點,福岡県福岡市早良区百道浜2丁目3-26,1.5小時,33.5933,130.3515,1,從LaLaport搭公車約 45 分
笑樂牛腸鍋博多車站店,美食,福岡県福岡市博多区博多駅中央街1-1,晚餐,33.5898,130.4205,1,從福岡塔搭公車約 20 分
太宰府天滿宮,景點,福岡県太宰府市宰府4丁目7-1,2.5小時,33.5215,130.5348,2,從博多搭西鐵約 45 分
柳川遊船,景點,福岡県柳川市三橋町下百町1-6,2小時,33.1648,130.4076,2,從太宰府搭西鐵約 45 分
中洲屋台街,美食,福岡県福岡市博多區中洲1丁目,晚餐宵夜,33.5915,130.4065,2,從柳川搭西鐵約 60 分
由布院湯之坪街道,景點,大分県由布市湯布院町川上,3-4小時,33.2657,131.3618,3,搭由布院之森約 2小時 15分
博多運河城,購物,福岡県福岡市博多區住吉1丁目2,晚餐,33.5898,130.411,3,從博多車站步行約 10 分
高千穗峽集合點,交通,福岡県福岡市博多區博多駅中央街1-1,全天,33.5897,130.4208,4,集合點在博多車站
高千穗峽,景點,宮崎県西臼杵郡高千穂町,3小時,32.701,131.301,4,抵達高千穗峽約 11:00
元祖博多明太重,美食,福岡県福岡市中央区西中洲6-15,晚餐,33.5902,130.4031,4,高千穗一日遊回程約 3 小時
